freq : 100.00 MHz
SWR : 1.965000
 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
0 	 225 	 -300.0     	   1e-30     	    -65.95225
0 	 240 	 -300.0     	   1e-30     	    -65.95048
0 	 255 	 -300.0     	   1e-30     	    -65.94843
0 	 270 	 -300.0     	   1e-30     	    -65.94562
0 	 285 	 -300.0     	   1e-30     	    -65.94077
0 	 300 	 -300.0     	   1e-30     	    -65.9275
0 	 315 	 -300.0     	   1e-30     	    41.14985
0 	 330 	 -300.0     	   1e-30     	    114.023
0 	 345 	 -300.0     	   1e-30     	    114.0363
0 	 360 	 -300.0     	   1e-30     	    114.0411
15 	 0 	 -300.0     	   1e-30     	    -54.82925
15 	 15 	 -300.0     	   1e-30     	    -54.71029
15 	 30 	 -300.0     	   1e-30     	    -54.63436
15 	 45 	 -300.0     	   1e-30     	    -54.60833
15 	 60 	 -300.0     	   1e-30     	    -54.6346
15 	 75 	 -300.0     	   1e-30     	    -54.71075
15 	 90 	 -300.0     	   1e-30     	    -54.8299
15 	 105 	 -300.0     	   1e-30     	    -54.98172
15 	 120 	 -300.0     	   1e-30     	    -55.1538
15 	 135 	 -300.0     	   1e-30     	    -55.33307
15 	 150 	 -300.0     	   1e-30     	    -55.50701
15 	 165 	 -300.0     	   1e-30     	    -55.66451
15 	 180 	 -300.0     	   1e-30     	    -55.79637
15 	 195 	 -300.0     	   1e-30     	    -55.89547
15 	 210 	 -300.0     	   1e-30     	    -55.95685
15 	 225 	 -300.0     	   1e-30     	    -55.97756
15 	 240 	 -300.0     	   1e-30     	    -55.95664
15 	 255 	 -300.0     	   1e-30     	    -55.89506
15 	 270 	 -300.0     	   1e-30     	    -55.79578
15 	 285 	 -300.0     	   1e-30     	    -55.66378
15 	 300 	 -300.0     	   1e-30     	    -55.50618
15 	 315 	 -300.0     	   1e-30     	    -55.3322
15 	 330 	 -300.0     	   1e-30     	    -55.15294
15 	 345 	 -300.0     	   1e-30     	    -54.98094
15 	 360 	 -300.0     	   1e-30     	    -54.82925
30 	 0 	 -300.0     	   1e-30     	    -55.07225
30 	 15 	 -300.0     	   1e-30     	    -55.01348
30 	 30 	 -300.0     	   1e-30     	    -54.97633
30 	 45 	 -300.0     	   1e-30     	    -54.96365
30 	 60 	 -300.0     	   1e-30     	    -54.97644
30 	 75 	 -300.0     	   1e-30     	    -55.01369
30 	 90 	 -300.0     	   1e-30     	    -55.07256
30 	 105 	 -300.0     	   1e-30     	    -55.14859
30 	 120 	 -300.0     	   1e-30     	    -55.23618
30 	 135 	 -300.0     	   1e-30     	    -55.32908
30 	 150 	 -300.0     	   1e-30     	    -55.42088
30 	 165 	 -300.0     	   1e-30     	    -55.50543
30 	 180 	 -300.0     	   1e-30     	    -55.57729
30 	 195 	 -300.0     	   1e-30     	    -55.63197
30 	 210 	 -300.0     	   1e-30     	    -55.66612
30 	 225 	 -300.0     	   1e-30     	    -55.67769
30 	 240 	 -300.0     	   1e-30     	    -55.66601
30 	 255 	 -300.0     	   1e-30     	    -55.63175
30 	 270 	 -300.0     	   1e-30     	    -55.57699
30 	 285 	 -300.0     	   1e-30     	    -55.50506
30 	 300 	 -300.0     	   1e-30     	    -55.42047
30 	 315 	 -300.0     	   1e-30     	    -55.32866
30 	 330 	 -300.0     	   1e-30     	    -55.23577
30 	 345 	 -300.0     	   1e-30     	    -55.14821
30 	 360 	 -300.0     	   1e-30     	    -55.07225
45 	 0 	 -300.0     	   1e-30     	    -55.14058
45 	 15 	 -300.0     	   1e-30     	    -55.0993
45 	 30 	 -300.0     	   1e-30     	    -55.07328
45 	 45 	 -300.0     	   1e-30     	    -55.06443
45 	 60 	 -300.0     	   1e-30     	    -55.07336
45 	 75 	 -300.0     	   1e-30     	    -55.09943
45 	 90 	 -300.0     	   1e-30     	    -55.14078
45 	 105 	 -300.0     	   1e-30     	    -55.19444
45 	 120 	 -300.0     	   1e-30     	    -55.25663
45 	 135 	 -300.0     	   1e-30     	    -55.32301
45 	 150 	 -300.0     	   1e-30     	    -55.38903
45 	 165 	 -300.0     	   1e-30     	    -55.45024
