Freq. (Hz) 	 V/sqrt(Hz) 
4.51953e+08	4.38487e-96
4.57031e+08	4.30915e-96
4.62109e+08	4.59582e-96
4.67188e+08	4.76766e-96
4.72266e+08	4.52717e-96
4.77344e+08	4.41449e-96
4.82422e+08	4.53503e-96
4.875e+08	4.71539e-96
4.92578e+08	4.59599e-96
4.97656e+08	4.60442e-96
5.02734e+08	4.80587e-96
5.07812e+08	5.12388e-96
5.12891e+08	5.30555e-96
5.17969e+08	5.17415e-96
5.23047e+08	5.1106e-96
5.28125e+08	4.98738e-96
5.33203e+08	4.70971e-96
5.38281e+08	4.43862e-96
5.43359e+08	4.32095e-96
5.48438e+08	4.38354e-96
5.53516e+08	4.5042e-96
5.58594e+08	4.65356e-96
5.63672e+08	4.7891e-96
5.6875e+08	4.72043e-96
5.73828e+08	4.53584e-96
5.78906e+08	4.4982e-96
5.83984e+08	4.71587e-96
5.89062e+08	4.94497e-96
5.94141e+08	4.78534e-96
5.99219e+08	4.66463e-96
6.04297e+08	5.15595e-96
6.09375e+08	5.47474e-96
6.14453e+08	5.60096e-96
6.19531e+08	5.58964e-96
6.24609e+08	5.57957e-96
6.29688e+08	5.81086e-96
6.34766e+08	6.19598e-96
6.39844e+08	6.52165e-96
6.44922e+08	6.56049e-96
6.5e+08	6.57719e-96
6.55078e+08	6.74459e-96
6.60156e+08	6.8844e-96
6.65234e+08	6.42516e-96
6.70312e+08	6.08658e-96
6.75391e+08	6.05937e-96
6.80469e+08	6.37237e-96
6.85547e+08	6.39557e-96
6.90625e+08	6.4998e-96
6.95703e+08	6.80006e-96
7.00781e+08	6.90807e-96
7.05859e+08	6.12225e-96
7.10938e+08	5.39695e-96
7.16016e+08	5.53307e-96
7.21094e+08	5.48438e-96
7.26172e+08	4.9511e-96
7.3125e+08	4.34125e-96
7.36328e+08	4.36511e-96
7.41406e+08	4.48987e-96
7.46484e+08	4.2518e-96
7.51562e+08	3.81218e-96
7.56641e+08	3.46118e-96
7.61719e+08	3.41252e-96
7.66797e+08	3.26284e-96
7.71875e+08	3.04821e-96
